4294A REV1.11
"DATE: Jan 25 2018"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 800"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
2.17732100000e+03	2.811217e+00	0.000000e+00
2.19622600000e+03	2.835499e+00	0.000000e+00
2.21529600000e+03	2.859805e+00	0.000000e+00
2.23453200000e+03	2.884266e+00	0.000000e+00
2.25393400000e+03	2.908817e+00	0.000000e+00
2.27350500000e+03	2.933810e+00	0.000000e+00
2.29324600000e+03	2.959128e+00	0.000000e+00
2.31315800000e+03	2.984132e+00	0.000000e+00
2.33324300000e+03	3.010036e+00	0.000000e+00
2.35350200000e+03	3.035586e+00	0.000000e+00
2.37393800000e+03	3.061987e+00	0.000000e+00
2.39455100000e+03	3.088170e+00	0.000000e+00
2.41534300000e+03	3.114446e+00	0.000000e+00
2.43631500000e+03	3.141354e+00	0.000000e+00
2.45746900000e+03	3.168519e+00	0.000000e+00
2.47880800000e+03	3.195218e+00	0.000000e+00
2.50033100000e+03	3.222882e+00	0.000000e+00
2.52204100000e+03	3.250299e+00	0.000000e+00
2.54394000000e+03	3.278612e+00	0.000000e+00
2.56602900000e+03	3.306431e+00	0.000000e+00
2.58831000000e+03	3.334785e+00	0.000000e+00
2.61078400000e+03	3.363014e+00	0.000000e+00
